name;id;yr;cy;dr;at;ps;air;drv;p;wt;dom;disp;hp;lng;wdt;wb;mpg;q;firmids;euro;reli;dfi;hp2wt;size;japan;year;cat
"AD100L";1715;77;4;2;0;0;0;1;7150;2489;0;114.2;92;188;69;105.3;18;7682;7;1;2;0;.3696263;1.2972;0;1977;"midsize"
"AD4000";1869;80;4;4;0;0;0;1;8870;2178;0;97;76;177;67;99.5;22;14683;7;1;5;0;.348944;1.1859;0;1980;"midsize"
"AD4000";2359;81;4;4;0;0;0;1;9435;2123;0;105;74;177;67;100;26;18647;7;1;3;0;.3485633;1.1859;0;1981;"midsize"
"AD5000";1764;78;5;4;0;1;0;1;8780;2588;0;130.8;103;190;70;105.5;15;20761;7;1;5;0;.3979907;1.33;0;1978;"midsize"
"AD5000";1813;79;5;4;0;1;0;1;9725;2622;0;130.8;103;190;70;105.5;16;28276;7;1;3;0;.3928299;1.33;0;1979;"midsize"
"AD5000";1868;80;5;4;0;1;0;1;11400;2624;0;121;67;190;70;105.9;27;8038;7;1;5;0;.2553354;1.33;0;1980;"midsize"
"AD5000";2358;81;5;4;0;1;0;1;17950;2963;0;121;86;190;70;105.5;27;6139;7;1;3;0;.2902464;1.33;0;1981;"midsize"
"ADCOUP";2361;81;5;2;0;0;0;0;11895;2478;0;130.8;100;177;67;99.8;21;2553;7;1;3;0;.4035513;1.1859;0;1981;"midsize"
"ADFOX";1716;77;4;4;0;0;0;1;5549;2060;0;97;78;173;63;97.2;24;23281;7;1;4;0;.3786408;1.0899;0;1977;"compact"
"ADFOX";1765;78;4;4;0;0;0;0;6104;2060;0;97;78;173;63;96.5;23;19584;7;1;3;0;.3786408;1.0899;0;1978;"compact"
"ADFOX";1814;79;4;4;0;0;0;0;6445;2060;0;97;78;173;63;96.5;23;6151;7;1;3;0;.3786408;1.0899;0;1979;"compact"
"AMCONC";978;78;6;4;0;0;0;0;3849;3099;1;232;90;184;72;108;20;116043;15;0;3;0;.2904163;1.3248;0;1978;"midsize"
"AMCONC";1117;79;6;4;0;0;0;0;4489;2939;1;232;90;186;72;108;18;85432;15;0;3;0;.3062266;1.3392;0;1979;"midsize"
"AMCONC";1263;80;4;4;0;0;0;0;5219;2712;1;151;90;185;71;108;22;64991;15;0;2;0;.3318584;1.3135;0;1980;"midsize"
"AMCONC";1931;81;4;4;0;0;0;0;6054;2738;1;151;90;185;71;108;23;59838;15;0;3;0;.3287071;1.3135;0;1981;"midsize"
"AMEAGL";1267;80;6;4;0;0;0;0;7418;3450;1;258;100;187;72;109;16;32641;15;0;1;0;.2898551;1.3464;0;1980;"midsize"
"AMEAGL";1933;81;4;3;0;1;0;0;6966;2967;1;151;100;167;73;97.2;19;43221;15;0;1;0;.3370408;1.2191;0;1981;"compact"
"AMGREM";855;77;4;2;0;0;0;0;3248;2564;1;121;80;167;71;96;21;38071;15;0;3;0;.3120125;1.1857;0;1977;"compact"
"AMGREM";976;78;4;2;0;0;0;0;3789;2556;1;121;80;167;72;96;22;24414;15;0;2;0;.3129891;1.2024;0;1978;"compact"
"AMHORN";857;77;6;4;0;0;0;0;3449;3035;1;232;88;186;71;108;18;78332;15;0;2;0;.2899506;1.3206;0;1977;"midsize"
"AMMATA";860;77;6;4;1;1;0;0;4549;3713;1;258;98;216;78;118;15;22325;15;0;4;0;.2639375;1.6848;0;1977;"large"
"AMMATA";984;78;6;4;1;1;0;0;4849;3718;1;258;120;219;75;118;16;9471;15;0;3;0;.3227542;1.6425;0;1978;"large"
"AMPACE";859;77;6;2;0;0;0;0;3649;3156;1;232;88;170;77;100;18;45226;15;0;3;0;.278834;1.309;0;1977;"compact"
"AMPACE";980;78;6;2;0;0;0;0;4048;3197;1;232;90;173;77;100;18;20811;15;0;3;0;.2815139;1.3321;0;1978;"compact"
"AMPACE";1120;79;6;3;0;0;0;0;5039;3133;1;258;100;173;77;100;17;8168;15;0;1;0;.3191829;1.3321;0;1979;"compact"
"AMPACE";1265;80;6;3;0;0;0;0;5407;3147;1;258;100;174;77;100;17;2083;15;0;1;0;.3177629;1.3398;0;1980;"compact"
"AMSPIR";1113;79;4;2;0;0;0;0;3853;2489;1;121;80;167;72;96;22;54356;15;0;3;0;.3214142;1.2024;0;1979;"compact"
"AMSPIR";1261;80;4;2;0;0;0;0;4505;2512;1;151;80;167;72;96;22;49723;15;0;2;0;.3184713;1.2024;0;1980;"compact"
"AMSPIR";1929;81;4;3;0;0;0;0;5310;2587;1;151;80;167;72;96;23;33504;15;0;1;0;.3092385;1.2024;0;1981;"compact"
"ARGTV6";2356;81;6;2;0;0;0;0;16983;2823;0;152;154;168;66;94.5;17;606;20;1;2;0;.5455189;1.1088;0;1981;"compact"
"ARSPID";1866;80;4;2;0;0;0;0;13995;2455;0;119.7;112;161;65;88.6;19;2539;20;1;2;0;.4562118;1.0465;0;1980;"compact"
"ARSPID";2355;81;4;2;0;0;0;0;14895;2548;0;119.7;129;169;65;88.6;20;1688;20;1;2;0;.5062794;1.0985;0;1981;"compact"
"ARSPOR";1714;77;4;4;0;0;0;0;7595;2690;0;119.7;112;173;64;98.8;19;5505;20;1;2;0;.4163569;1.1072;0;1977;"compact"
"BKCENT";865;77;6;4;0;1;0;0;4364;3692;1;231;105;214;79;116;16;279657;19;0;3;0;.2843987;1.6906;0;1977;"large"
"BKCENT";1271;80;6;4;0;0;0;0;5858;3106;1;231;110;196;73;108.1;16;145894;19;0;2;0;.3541532;1.4308;0;1980;"large"
"BKCENT";1939;81;6;4;0;1;0;0;7924;3179;1;231;110;196;72;108.1;17;126367;19;0;2;0;.3460208;1.4112;0;1981;"large"
"BKCNTS";989;78;6;4;0;0;0;0;4520;3014;1;196;105;196;73;108.1;19;323356;19;0;3;0;.3483742;1.4308;0;1978;"large"
"BKCNTS";1127;79;6;4;0;0;0;0;5021;3053;1;196;105;196;73;108.1;18;62210;19;0;2;0;.343924;1.4308;0;1979;"large"
"BKELCT";873;77;8;4;1;1;0;0;6866;3814;1;350;155;223;78;119;14;136341;19;0;3;0;.4063975;1.7394;0;1977;"large"
"BKELCT";997;78;8;4;1;1;0;0;7431;3730;1;350;155;223;78;118.9;15;121705;19;0;4;0;.4155496;1.7394;0;1978;"large"
"BKELCT";1135;79;8;4;1;1;0;0;8878;3831;1;350;155;233;78;118.9;15;88195;19;0;4;0;.4045941;1.8174;0;1979;"large"
"BKELCT";1281;80;6;4;1;1;1;0;9580;3578;1;252;125;221;78;118.9;17;62717;19;0;2;0;.3493572;1.7238;0;1980;"large"
"BKELCT";1950;81;6;4;1;1;1;0;11102;3722;1;252;125;222;76;118.9;18;57234;19;0;3;0;.3358409;1.6872;0;1981;"large"
"BKLSAB";870;77;6;4;1;1;0;0;5093;3504;1;231;105;219;77;115.9;17;187519;19;0;3;0;.2996575;1.6863;0;1977;"large"
"BKLSAB";994;78;6;4;1;1;0;0;5536;3439;1;231;105;219;78;115.9;17;190414;19;0;3;0;.3053213;1.7082;0;1978;"large"
"BKLSAB";1132;79;6;4;1;1;0;0;6110;3459;1;231;115;219;78;115.9;18;129554;19;0;4;0;.332466;1.7082;0;1979;"large"
"BKLSAB";1276;80;6;4;1;1;0;0;6940;3369;1;231;110;218;78;115.9;18;88504;19;0;3;0;.3265064;1.7004;0;1980;"large"
"BKLSAB";1944;81;6;4;1;1;0;0;8281;3493;1;231;110;219;76;115.9;19;82263;19;0;3;0;.3149155;1.6644;0;1981;"large"
"BKREGA";1130;79;6;2;0;0;0;0;5407;3029;1;196;105;200;73;108.1;18;249379;19;0;2;0;.3466491;1.46;0;1979;"large"
"BKREGA";1274;80;6;2;0;0;0;0;6506;3115;1;231;110;200;73;108.1;16;199207;19;0;2;0;.35313;1.46;0;1980;"large"
"BKREGA";1942;81;6;2;1;1;0;0;8099;3188;1;231;110;201;72;108.1;17;208329;19;0;1;0;.3450439;1.4472;0;1981;"large"
"BKRIVE";874;77;8;2;1;1;0;0;7358;3784;1;350;155;219;78;116;15;20809;19;0;4;0;.4096195;1.7082;0;1977;"large"
"BKRIVE";998;78;8;2;1;1;0;0;9224;3701;1;350;155;219;78;115.9;15;25753;19;0;3;0;.4188057;1.7082;0;1978;"large"
"BKRIVE";1136;79;8;2;1;1;0;0;10684;3759;1;350;155;207;71;114;16;51402;19;0;3;0;.4123437;1.4697;0;1979;"large"
"BKRIVE";1284;80;8;2;1;1;1;1;11640;3633;1;350;160;207;73;114;15;42917;19;0;3;0;.4404074;1.5111;0;1980;"large"
"BKRIVE";1953;81;6;2;1;1;1;1;13027;3563;1;252;125;207;72;114;17;47964;19;0;3;0;.350828;1.4904;0;1981;"large"
"BKSKYH";862;77;6;2;0;0;0;0;3981;2805;1;231;105;180;66;97;18;24872;19;0;3;0;.3743316;1.188;0;1977;"midsize"
"BKSKYH";986;78;6;2;0;0;0;0;4146;2678;1;231;105;180;66;97;16;22221;19;0;2;0;.3920836;1.188;0;1978;"midsize"
"BKSKYH";1124;79;6;3;0;0;0;0;4560;2724;1;231;105;180;66;97;16;18768;19;0;1;0;.3854626;1.188;0;1979;"midsize"
"BKSKYH";1268;80;6;3;0;0;0;0;5211;2754;1;231;110;180;65;97;15;5388;19;0;2;0;.399419;1.17;0;1980;"midsize"
"BKSKYL";863;77;6;4;0;0;0;0;3825;3296;1;231;105;201;73;111;16;97196;19;0;2;0;.318568;1.4673;0;1977;"large"
"BKSKYL";987;78;6;4;0;0;0;0;4120;3234;1;231;105;201;73;111;18;97915;19;0;3;0;.3246753;1.4673;0;1978;"large"
"BKSKYL";1126;79;8;4;0;0;0;1;4503;3277;1;305;130;201;73;111;16;115000;19;0;2;0;.3967043;1.4673;0;1979;"large"
"BKSKYL";1269;80;4;4;0;0;0;1;5488;2438;1;151;90;182;68;104.9;24;175741;19;0;2;0;.369155;1.2376;0;1980;"midsize"
"BKSKYL";1937;81;4;4;0;0;0;1;6997;2453;1;151;90;182;68;104.9;22;200460;19;0;1;0;.3668977;1.2376;0;1981;"midsize"
"BW320I";1717;77;4;2;0;1;0;0;7990;2650;0;121.3;110;178;64;100.9;20;19519;8;1;4;0;.4150943;1.1392;0;1977;"midsize"
"BW320I";1816;79;4;2;0;1;0;0;9735;2530;0;121.3;110;178;64;100.9;19;23604;8;1;4;0;.4347826;1.1392;0;1979;"midsize"
"BW320I";1871;80;4;2;0;1;1;0;11810;2301;0;107.7;101;178;64;100.9;25;25786;8;1;5;0;.4389396;1.1392;0;1980;"midsize"
"BW320I";2362;81;4;2;0;1;1;0;12895;2285;0;107.7;101;178;64;100.9;25;31902;8;1;4;0;.4420131;1.1392;0;1981;"midsize"
"BW528I";1815;79;6;4;0;1;1;0;15505;3320;0;170.1;169;190;68;103.8;17;6878;8;1;4;0;.5090361;1.292;0;1979;"midsize"
"BW528I";1870;80;6;4;0;1;1;0;20150;3059;0;170.1;169;190;68;103.8;18;7992;8;1;5;0;.5524681;1.292;0;1980;"midsize"
"BW528I";2363;81;6;4;0;1;1;0;21995;3022;0;170.1;169;190;68;103.8;18;6267;8;1;4;0;.5592323;1.292;0;1981;"midsize"
"BW530I";1718;77;6;4;0;1;0;0;12495;3440;0;182.2;176;190;67;103.8;14;7239;8;1;4;0;.5116279;1.273;0;1977;"midsize"
"BW633C";2364;81;6;2;0;1;1;0;35910;3222;0;196;181;194;68;103.4;16;1138;8;1;4;0;.5617629;1.3192;0;1981;"midsize"
"BW733I";1767;78;6;4;0;1;1;0;21365;3800;0;196;177;198;71;110;14;1632;8;1;4;0;.4657895;1.4058;0;1978;"large"
"BW733I";1872;80;6;4;0;1;1;0;28945;3431;0;196;174;198;71;110;16;2047;8;1;5;0;.5071408;1.4058;0;1980;"large"
"BW733I";2365;81;6;4;0;1;1;0;31980;3328;0;196;181;198;71;110;16;2454;8;1;4;0;.5438702;1.4058;0;1981;"large"
"CDDEVI";1960;81;8;4;1;1;1;0;14769;4067;1;368;140;221;76;121.4;15;138948;19;0;1;0;.3442341;1.6796;0;1981;"large"
"CDELDR";877;77;8;2;1;1;1;1;11187;4955;1;425;180;225;80;126.3;11;46348;19;0;1;0;.3632694;1.8;0;1977;"large"
"CDELDR";1002;78;8;2;1;1;1;1;12401;4906;1;425;180;224;80;126.3;10;46267;19;0;2;0;.3668977;1.792;0;1978;"large"
"CDELDR";1141;79;8;2;1;1;1;1;14668;3792;1;350;170;204;72;113.9;14;62553;19;0;2;0;.4483122;1.4688;0;1979;"large"
"CDELDR";1291;80;8;2;1;1;1;1;16141;3806;1;368;145;205;77;114;14;54142;19;0;1;0;.3809774;1.5785;0;1980;"large"
"CDELDR";1964;81;8;2;1;1;1;1;17550;3822;1;368;140;205;71;114;15;54389;19;0;1;0;.3663004;1.4555;0;1981;"large"
"CDFLTW";1287;80;8;4;1;1;1;0;15564;4092;1;368;150;205;77;124.1;13;126151;19;0;2;0;.3665689;1.5785;0;1980;"large"
"CDSEVI";875;77;8;4;1;1;1;0;13359;4192;1;350;180;204;72;114.3;14;44667;19;0;3;0;.4293893;1.4688;0;1977;"large"
"CDSEVI";999;78;8;4;1;1;1;0;14710;4179;1;350;170;204;72;114.3;14;55721;19;0;3;0;.4067959;1.4688;0;1978;"large"
"CDSEVI";1137;79;8;4;1;1;1;0;16224;4180;1;350;170;204;72;114.3;14;45317;19;0;3;0;.4066986;1.4688;0;1979;"large"
"CDSEVI";1285;80;8;4;1;1;1;1;20477;3911;1;350;105;205;72;114;21;34709;19;0;1;0;.2684735;1.476;0;1980;"large"
"CDSEVI";1957;81;8;4;1;1;1;1;23000;3898;1;368;140;205;71;114;15;22728;19;0;1;0;.3591585;1.4555;0;1981;"large"
"CPSPOR";1719;77;4;3;0;0;0;0;4373;2513;0;140;92;175;67;100.9;18;22458;8;1;3;0;.3660963;1.1725;0;1977;"compact"
"CRCORD";898;77;8;2;1;1;0;0;5418;4045;1;400;190;215;78;115;11;142619;16;0;1;0;.4697157;1.677;0;1977;"large"
"CRCORD";1026;78;8;2;1;1;0;0;5811;4020;1;360;155;216;78;114.9;14;105442;16;0;2;0;.3855721;1.6848;0;1978;"large"
"CRCORD";1166;79;8;2;1;1;0;0;6337;3680;1;318;135;216;78;114.9;16;61801;16;0;2;0;.3668478;1.6848;0;1979;"large"
"CRCORD";1312;80;6;2;1;1;0;0;6978;3270;1;225;90;210;73;112.7;17;44908;16;0;4;0;.2752294;1.533;0;1980;"large"
"CRCORD";1988;81;6;2;1;1;0;0;7765;3300;1;225;85;211;73;112.7;18;23904;16;0;3;0;.2575758;1.5403;0;1981;"large"
"CRIMPE";1993;81;8;2;1;1;1;0;19491;3870;1;318;140;214;73;112.7;15;4649;16;0;3;0;.3617571;1.5622;0;1981;"large"
"CRLEBA";897;77;8;4;1;1;0;0;5224;3560;1;318;145;207;73;112.7;13;70037;16;0;2;0;.4073034;1.5111;0;1977;"large"
"CRLEBA";1024;78;6;4;1;1;0;0;5060;3400;1;225;110;207;74;112.7;17;125558;16;0;2;0;.3235294;1.5318;0;1978;"large"
"CRLEBA";1164;79;6;4;0;1;0;0;5479;3330;1;225;100;207;73;112.7;18;99588;16;0;2;0;.3003003;1.5111;0;1979;"large"
"CRLEBA";1310;80;6;4;1;1;0;0;6518;3300;1;225;90;206;75;112.7;17;65519;16;0;4;0;.2727273;1.545;0;1980;"large"
"CRLEBA";1986;81;6;4;1;1;0;0;6910;3275;1;225;85;206;75;112.7;18;46992;16;0;3;0;.259542;1.545;0;1981;"large"
"CRNEWP";1027;78;8;4;1;1;0;0;5888;4460;1;400;190;228;80;123.9;11;67892;16;0;2;0;.426009;1.824;0;1978;"large"
"CRNEWP";1167;79;6;4;1;1;0;0;6405;3530;1;225;110;221;78;118.5;17;87451;16;0;1;0;.3116147;1.7238;0;1979;"large"
"CVCAMA";888;77;6;2;0;1;0;0;4113;3369;1;250;110;196;75;108;18;208511;19;0;1;0;.3265064;1.47;0;1977;"large"
"CVCAMA";1013;78;6;2;0;1;0;0;4414;3300;1;250;110;198;75;108;18;260201;19;0;2;0;.3333333;1.485;0;1978;"large"
"CVCAMA";1154;79;6;2;0;1;0;0;5163;3305;1;250;115;198;75;108;18;204742;19;0;2;0;.3479576;1.485;0;1979;"large"
"CVCAMA";1301;80;6;2;0;0;0;0;5843;3218;1;229;115;198;75;108;20;116824;19;0;1;0;.3573648;1.485;0;1980;"large"
"CVCAMA";1973;81;6;2;0;1;0;0;6780;3222;1;229;110;198;75;108;20;94606;19;0;1;0;.3414029;1.485;0;1981;"large"
"CVCHEV";879;77;4;2;0;0;0;0;2999;1898;1;85;57;159;62;94.3;28;196218;19;0;3;0;.3003161;.9858;0;1977;"compact"
"CVCHEV";1004;78;4;5;0;0;0;0;3764;2035;1;97.6;63;163;62;97.3;30;247088;19;0;3;0;.3095823;1.0106;0;1978;"compact"
"CVCHEV";1145;79;4;5;0;0;0;0;4072;2057;1;98;70;163;62;94.3;29;375724;19;0;3;0;.3403014;1.0106;0;1979;"compact"
"CVCHEV";1293;80;4;5;0;0;0;0;4736;2048;1;98;70;166;62;97.3;26;373988;19;0;3;0;.3417969;1.0292;0;1980;"compact"
"CVCHEV";1966;81;4;5;0;0;0;0;5399;2063;1;98;70;162;62;97.3;30;346307;19;0;3;0;.3393117;1.0044;0;1981;"compact"
"CVCITA";1294;80;4;5;0;0;0;1;5552;2437;1;151;90;177;69;104.9;24;374706;19;0;1;0;.3693065;1.2213;0;1980;"midsize"
"CVCITA";1967;81;4;5;0;0;0;1;6523;2432;1;151;90;177;69;104.9;22;300184;19;0;1;0;.3700658;1.2213;0;1981;"midsize"
"CVCORV";896;77;8;2;0;1;0;0;8648;3448;1;350;180;186;69;98;14;42571;19;0;1;0;.5220417;1.2834;0;1977;"midsize"
"CVCORV";1023;78;8;2;0;1;0;0;9645;3401;1;350;185;186;69;98;14;42247;19;0;1;0;.5439577;1.2834;0;1978;"midsize"
"CVCORV";1163;79;8;2;0;1;0;0;12313;3372;1;350;195;186;69;98;13;38631;19;0;1;0;.5782918;1.2834;0;1979;"midsize"
"CVCORV";1309;80;8;2;0;1;1;0;13965;3206;1;350;190;186;69;98;14;36507;19;0;1;0;.5926388;1.2834;0;1980;"midsize"
"CVCORV";1985;81;8;2;0;1;1;0;16259;3179;1;350;190;186;69;98;14;29039;19;0;1;0;.5976722;1.2834;0;1981;"midsize"
"CVIMPA";1977;81;6;4;1;1;0;0;7550;3354;1;229;110;213;74;116;19;46992;19;0;1;0;.3279666;1.5762;0;1981;"large"
"CVMALI";885;77;6;4;0;0;0;0;3935;3628;1;250;110;210;77;116;18;296193;19;0;3;0;.3031974;1.617;0;1977;"large"
"CVMALI";1010;78;6;4;0;0;0;0;4279;3006;1;200;95;193;72;108.1;19;374124;19;0;4;0;.3160346;1.3896;0;1978;"midsize"
"CVMALI";1151;79;6;4;0;0;0;0;4915;2988;1;200;94;193;72;108.1;22;344233;19;0;3;0;.3145917;1.3896;0;1979;"midsize"
"CVMALI";1298;80;6;4;0;0;0;0;5617;3001;1;229;115;193;72;108.1;20;267732;19;0;3;0;.3832056;1.3896;0;1980;"midsize"
"CVMALI";1969;81;6;4;0;1;0;0;6814;3028;1;229;110;193;73;108.1;20;211133;19;0;3;0;.3632761;1.4089;0;1981;"midsize"
"CVMNTC";890;77;8;2;1;1;0;0;4968;3852;1;305;145;214;78;116;16;370825;19;0;3;0;.3764278;1.6692;0;1977;"large"
"CVMNTC";1015;78;6;2;0;0;0;0;4785;3040;1;231;105;201;72;108.1;16;355058;19;0;2;0;.3453947;1.4472;0;1978;"large"
"CVMNTC";1156;79;6;2;0;0;0;0;5333;3039;1;200;94;201;72;108.1;22;265877;19;0;1;0;.3093123;1.4472;0;1979;"large"
"CVMNTC";1303;80;6;2;1;1;0;0;6524;3104;1;229;115;201;72;108.1;19;165638;19;0;2;0;.3704897;1.4472;0;1980;"large"
"CVMNTC";1975;81;6;2;1;1;0;0;7505;3102;1;229;110;201;72;108.1;19;161158;19;0;1;0;.3546099;1.4472;0;1981;"large"
"CVMONZ";883;77;4;2;0;0;0;0;3560;2580;1;140;84;180;66;97;24;83413;19;0;2;0;.3255814;1.188;0;1977;"midsize"
"CVMONZ";1007;78;6;2;0;0;0;0;3632;2688;1;196;90;178;66;97;19;158127;19;0;2;0;.3348214;1.1748;0;1978;"midsize"
"CVMONZ";1148;79;4;2;0;0;0;0;3850;2577;1;151;90;180;66;97;24;141564;19;0;2;0;.3492433;1.188;0;1979;"midsize"
"CVMONZ";1296;80;4;2;0;0;0;0;4433;2617;1;151;86;180;66;97;22;150320;19;0;1;0;.3286206;1.188;0;1980;"midsize"
"CVNOVA";881;77;6;4;0;0;0;0;3532;3174;1;250;110;197;73;111;19;312135;19;0;2;0;.3465658;1.4381;0;1977;"large"
"CVNOVA";1005;78;6;4;0;0;0;0;3777;3173;1;250;110;197;73;111;18;248214;19;0;3;0;.3466751;1.4381;0;1978;"large"
"CVNOVA";1146;79;6;4;0;0;0;0;4055;3179;1;250;115;197;73;111;19;308437;19;0;1;0;.361749;1.4381;0;1979;"large"
"CVVEGA";880;77;4;2;0;0;0;0;3249;2459;1;140;84;176;66;97;24;73813;19;0;3;0;.3416023;1.1616;0;1977;"midsize"
"DGARIE";1996;81;4;4;0;0;0;1;6131;2300;1;135;84;176;69;99.9;25;143619;16;0;2;0;.3652174;1.2144;0;1981;"midsize"
"DGASPE";904;77;6;4;0;0;0;0;3631;3235;1;225;100;202;73;112.7;20;242111;16;0;1;0;.309119;1.4746;0;1977;"large"
"DGASPE";1033;78;6;4;0;0;0;0;3911;3175;1;225;100;202;74;112.7;20;157308;16;0;1;0;.3149606;1.4948;0;1978;"large"
"DGASPE";1174;79;6;4;0;0;0;0;4516;3115;1;225;100;202;73;112.7;18;117777;16;0;4;0;.3210273;1.4746;0;1979;"large"
"DGASPE";1320;80;6;4;0;0;0;0;5162;3165;1;225;90;205;73;112.7;17;55092;16;0;3;0;.2843602;1.4965;0;1980;"large"
"DGCHLN";1040;78;4;2;0;0;0;0;6051;2435;1;97.5;80;184;66;99;29;17825;16;0;1;0;.3285421;1.2144;0;1978;"midsize"
"DGCHLN";1178;79;4;2;0;0;0;0;6487;2410;1;97.5;80;184;66;99;26;14166;16;0;3;0;.3319502;1.2144;0;1979;"midsize"
"DGCHLN";1323;80;4;2;0;0;0;0;6502;2675;1;155.9;105;184;66;99;21;12617;16;0;3;0;.3925234;1.2144;0;1980;"midsize"
"DGCHLN";2000;81;4;2;0;0;0;0;7672;2755;1;156;92;180;66;99.6;20;12690;16;0;4;0;.3339383;1.188;0;1981;"midsize"
"DGCHRG";910;77;8;2;1;1;0;0;5098;3895;1;318;145;216;78;115;13;29099;16;0;2;0;.3722721;1.6848;0;1977;"large"
"DGCOLT";901;77;4;4;0;0;0;0;3422;2065;1;97.5;83;172;64;92.1;29;70679;16;0;5;0;.401937;1.1008;0;1977;"compact"
"DGCOLT";1030;78;4;4;0;0;0;0;4158;2110;1;97.5;80;163;61;92.1;34;44066;16;0;5;0;.3791469;.9943;0;1978;"compact"
"DGCOLT";1171;79;4;4;0;0;0;1;4490;2020;1;97.5;80;163;61;92.1;33;62705;16;0;5;0;.3960396;.9943;0;1979;"compact"
"DGCOLT";1318;80;4;3;0;0;0;1;4430;1810;1;86;70;157;63;90.6;37;49798;16;0;5;0;.3867403;.9891;0;1980;"compact"
"DGCOLT";1995;81;4;2;0;0;0;0;5263;1810;1;86;70;157;63;90.6;37;42796;16;0;5;0;.3867403;.9891;0;1981;"compact"
"DGDIPL";911;77;8;4;1;1;0;0;5101;3560;1;318;145;207;73;112;15;40072;16;0;2;0;.4073034;1.5111;0;1977;"large"
"DGDIPL";1041;78;6;4;0;1;0;1;5187;3465;1;225;110;207;74;112.7;17;60656;16;0;2;0;.3174603;1.5318;0;1978;"large"
"DGDIPL";1179;79;6;4;0;1;0;0;5336;3330;1;225;100;207;73;112.7;18;45129;16;0;3;0;.3003003;1.5111;0;1979;"large"
"DGDIPL";1324;80;6;4;1;1;0;0;6202;3300;1;225;90;206;74;112.7;17;33157;16;0;3;0;.2727273;1.5244;0;1980;"large"
"DGDIPL";1998;81;6;4;1;1;0;0;6910;3275;1;225;85;206;73;112.7;18;25589;16;0;2;0;.259542;1.5038;0;1981;"large"
"DGMAGN";1177;79;8;2;1;1;0;0;6039;3675;1;318;135;216;78;114.9;16;24784;16;0;3;0;.3673469;1.6848;0;1979;"large"
"DGMIRA";1327;80;6;2;0;0;0;0;6645;3280;1;225;90;210;73;112.7;17;27595;16;0;3;0;.2743903;1.533;0;1980;"large"
"DGMIRA";2003;81;6;2;1;1;0;0;8083;3290;1;225;85;210;73;112.7;18;13947;16;0;2;0;.2583587;1.533;0;1981;"large"
"DGMONA";907;77;6;4;0;0;0;0;3988;3655;1;225;110;219;78;117.4;17;91807;16;0;1;0;.3009576;1.7082;0;1977;"large"
"DGMONA";1036;78;6;4;0;0;0;0;4344;3635;1;225;110;218;78;117.4;17;37594;16;0;1;0;.3026135;1.7004;0;1978;"large"
"DGOMNI";1029;78;4;5;0;0;0;1;3976;2145;1;104.7;75;165;67;99.2;25;89497;16;0;2;0;.3496504;1.1055;0;1978;"compact"
"DGOMNI";1170;79;4;5;0;0;0;1;4469;2135;1;104.7;70;165;67;99.2;25;124378;16;0;3;0;.3278688;1.1055;0;1979;"compact"
